pH,Q
2.000000, -0.3161125615
2.200000, -0.5011506064
2.400000, -0.7946751073
2.600000, -1.2610679454
2.800000, -2.0030248841
3.000000, -3.1821437719
3.200000, -5.0653301022
3.400000, -8.0467330799
3.600000, -12.7060031821
3.800000, -19.7574549093
4.000000, -29.7768561842
4.200000, -42.6361607481
4.400000, -56.8933711279
4.600000, -70.3272974001
4.800000, -81.0597325246
5.000000, -88.5668384393
5.200000, -93.3116125471
5.400000, -96.1348087834
5.600000, -97.7736880527
5.800000, -98.7064262599
6.000000, -99.2382211300
6.200000, -99.5451342179
6.400000, -99.7249369244
6.600000, -99.8314653870
6.800000, -99.8958568536
7.000000, -99.9350985710
7.200000, -99.9594258860
7.400000, -99.9745780220
7.600000, -99.9840077301
7.800000, -99.9899449691
8.000000, -99.9936634479
8.200000, -99.9960099450
8.400000, -99.9974840175
8.600000, -99.9984119341
8.800000, -99.9989957924
9.000000, -99.9993677976
9.200000, -99.9996015167
9.400000, -99.9997482805
9.600000, -99.9998411841
9.800000, -99.9998997718
10.000000, -99.9999368272
10.200000, -99.9999601197
10.400000, -99.9999748649
10.600000, -99.9999841234
10.800000, -99.9999899884
11.000000, -99.9999936824
11.200000, -99.9999960114
11.400000, -99.9999974862
11.600000, -99.9999984149
11.800000, -99.9999989981
12.000000, -99.9999993678
